id,audio,data_file,idx,meta,row_group_no,session_id,text,uttid,asr_result
13417740,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/dorado_data_extract/40fbb8b336944ec3bb42f7b4961dc873?lk3s=56dfb1e9&x-expires=1849274774&x-signature=KpgaVOaYj0bFFU69%2BoKmH5qmg5Q%3D,../data/c82daf56-45a9-4e34-ad6c-cf41bb88754c_000000_0_000000.parquet,1,"{""content"": {""U_1"": """", ""A_2"": ""帮我看一下这本书定价多少元？""}, ""session_id"": ""Obscured_narrative_v2-session_1-1"", ""duration"": 3.285, ""turn_points"": [1.0, 3.285], ""speech_prompt"": [], ""fe_sents"": [], ""text"": "" | 帮我看一下这本书定价多少元？"", ""start_time"": 1.0, ""end_time"": 3.285, ""sents"": [{""text"": """", ""speaker_id"": ""U"", ""start_time"": 0, ""end_time"": 1.0, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}, {""text"": ""帮我看一下这本书定价多少元？"", ""speaker_id"": ""A"", ""start_time"": 1.0, ""end_time"": 3.285, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}]}",0,Obscured_narrative_v2-session_1, | 帮我看一下这本书定价多少元？,Obscured_narrative_v2-session_1-1,"[{""asr_result"": ""帮我看一下这本书定价多少元？"", ""start_time"": 1.0, ""end_time"": 3.285}]"
13417741,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/dorado_data_extract/a3cfe62ba46140a58eac4e59ef94ea45?lk3s=56dfb1e9&x-expires=1849274774&x-signature=GDGRQ%2BjOAxoNQaEUQJ3fOqflOaw%3D,../data/c82daf56-45a9-4e34-ad6c-cf41bb88754c_000000_0_000000.parquet,1,"{""content"": {""U_1"": """", ""A_2"": ""这个说明书上的注册地址是哪里？""}, ""session_id"": ""Obscured_narrative_v2-session_0-1"", ""duration"": 4.094, ""turn_points"": [1.0, 4.094], ""speech_prompt"": [], ""fe_sents"": [], ""text"": "" | 这个说明书上的注册地址是哪里？"", ""start_time"": 1.0, ""end_time"": 4.094, ""sents"": [{""text"": """", ""speaker_id"": ""U"", ""start_time"": 0, ""end_time"": 1.0, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}, {""text"": ""这个说明书上的注册地址是哪里？"", ""speaker_id"": ""A"", ""start_time"": 1.0, ""end_time"": 4.094, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}]}",0,Obscured_narrative_v2-session_0, | 这个说明书上的注册地址是哪里？,Obscured_narrative_v2-session_0-1,"[{""asr_result"": ""这个说明书上的注册地址是哪里？"", ""start_time"": 1.0, ""end_time"": 4.094}]"
13417742,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/dorado_data_extract/937045efcdba45b48eaab535ed2bd0cf?lk3s=56dfb1e9&x-expires=1849274774&x-signature=sP7ux2GzEPSPaarJagEpZt7l66o%3D,../data/c82daf56-45a9-4e34-ad6c-cf41bb88754c_000000_0_000000.parquet,1,"{""content"": {""U_1"": """", ""A_2"": ""说明书下面这排写的是什么？是什么型号吗？""}, ""session_id"": ""Obscured_narrative_v2-session_11-1"", ""duration"": 4.831, ""turn_points"": [1.0, 4.831], ""speech_prompt"": [], ""fe_sents"": [], ""text"": "" | 说明书下面这排写的是什么？是什么型号吗？"", ""start_time"": 1.0, ""end_time"": 4.831, ""sents"": [{""text"": """", ""speaker_id"": ""U"", ""start_time"": 0, ""end_time"": 1.0, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}, {""text"": ""说明书下面这排写的是什么？是什么型号吗？"", ""speaker_id"": ""A"", ""start_time"": 1.0, ""end_time"": 4.831, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}]}",0,Obscured_narrative_v2-session_11, | 说明书下面这排写的是什么？是什么型号吗？,Obscured_narrative_v2-session_11-1,"[{""asr_result"": ""说明书下面这排写的是什么？是什么型号吗？"", ""start_time"": 1.0, ""end_time"": 4.831}]"
13417743,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/dorado_data_extract/e6730e71b42b4db98347af4ca9f1d95a?lk3s=56dfb1e9&x-expires=1849274774&x-signature=TEEyRs7bZmjJtPZ%2FzzugvftH0I4%3D,../data/c82daf56-45a9-4e34-ad6c-cf41bb88754c_000000_0_000000.parquet,1,"{""content"": {""U_1"": """", ""A_2"": ""这本书的文案编辑是谁？""}, ""session_id"": ""Obscured_narrative_v2-session_10-1"", ""duration"": 3.205, ""turn_points"": [1.0, 3.205], ""speech_prompt"": [], ""fe_sents"": [], ""text"": "" | 这本书的文案编辑是谁？"", ""start_time"": 1.0, ""end_time"": 3.205, ""sents"": [{""text"": """", ""speaker_id"": ""U"", ""start_time"": 0, ""end_time"": 1.0, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}, {""text"": ""这本书的文案编辑是谁？"", ""speaker_id"": ""A"", ""start_time"": 1.0, ""end_time"": 3.205, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}]}",0,Obscured_narrative_v2-session_10, | 这本书的文案编辑是谁？,Obscured_narrative_v2-session_10-1,"[{""asr_result"": ""这本书的文案编辑是谁？"", ""start_time"": 1.0, ""end_time"": 3.205}]"
13417744,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/dorado_data_extract/e4cf62e4f9424b24924a0491d52daaba?lk3s=56dfb1e9&x-expires=1849274775&x-signature=m3IxDsI3Q6q01UNEIO875NyHGfs%3D,../data/c82daf56-45a9-4e34-ad6c-cf41bb88754c_000000_0_000000.parquet,1,"{""content"": {""U_1"": """", ""A_2"": ""这本书写着，本书荣获是什么奖呀？""}, ""session_id"": ""Obscured_narrative_v2-session_13-1"", ""duration"": 4.696, ""turn_points"": [1.0, 4.696], ""speech_prompt"": [], ""fe_sents"": [], ""text"": "" | 这本书写着，本书荣获是什么奖呀？"", ""start_time"": 1.0, ""end_time"": 4.696, ""sents"": [{""text"": """", ""speaker_id"": ""U"", ""start_time"": 0, ""end_time"": 1.0, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}, {""text"": ""这本书写着，本书荣获是什么奖呀？"", ""speaker_id"": ""A"", ""start_time"": 1.0, ""end_time"": 4.696, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}]}",0,Obscured_narrative_v2-session_13, | 这本书写着，本书荣获是什么奖呀？,Obscured_narrative_v2-session_13-1,"[{""asr_result"": """", ""start_time"": 1.0, ""end_time"": 4.696}]"
13417745,https://lf6-bigspeech-sign.bytetos.com/bigspeech-platform/dorado_data_extract/d11285de24be4d11866125b278421daa?lk3s=56dfb1e9&x-expires=1849274775&x-signature=MaFDxpUbie9WduFOrCOgxerbq9E%3D,../data/c82daf56-45a9-4e34-ad6c-cf41bb88754c_000000_0_000000.parquet,1,"{""content"": {""U_1"": """", ""A_2"": ""这个飞机下面的第一行写的是什么？""}, ""session_id"": ""Obscured_narrative_v2-session_12-1"", ""duration"": 4.037, ""turn_points"": [1.0, 4.037], ""speech_prompt"": [], ""fe_sents"": [], ""text"": "" | 这个飞机下面的第一行写的是什么？"", ""start_time"": 1.0, ""end_time"": 4.037, ""sents"": [{""text"": """", ""speaker_id"": ""U"", ""start_time"": 0, ""end_time"": 1.0, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}, {""text"": ""这个飞机下面的第一行写的是什么？"", ""speaker_id"": ""A"", ""start_time"": 1.0, ""end_time"": 4.037, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}]}",0,Obscured_narrative_v2-session_12, | 这个飞机下面的第一行写的是什么？,Obscured_narrative_v2-session_12-1,"[{""asr_result"": ""这个飞机下面的第一行写的是什么？"", ""start_time"": 1.0, ""end_time"": 4.037}]"
13417746,https://lf3-bigspeech-sign.bytetos.com/bigspeech-platform/dorado_data_extract/d2fbf91c422048e382d683b8f05e86bf?lk3s=56dfb1e9&x-expires=1849274775&x-signature=PxPBjSr6YRlVnet5lLhlWfLlIMk%3D,../data/c82daf56-45a9-4e34-ad6c-cf41bb88754c_000000_0_000000.parquet,1,"{""content"": {""U_1"": """", ""A_2"": ""我需要用多少度的水来冲调这个饮品？""}, ""session_id"": ""Obscured_narrative_v2-session_16-1"", ""duration"": 4.148, ""turn_points"": [1.0, 4.148], ""speech_prompt"": [], ""fe_sents"": [], ""text"": "" | 我需要用多少度的水来冲调这个饮品？"", ""start_time"": 1.0, ""end_time"": 4.148, ""sents"": [{""text"": """", ""speaker_id"": ""U"", ""start_time"": 0, ""end_time"": 1.0, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}, {""text"": ""我需要用多少度的水来冲调这个饮品？"", ""speaker_id"": ""A"", ""start_time"": 1.0, ""end_time"": 4.148, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}]}",0,Obscured_narrative_v2-session_16, | 我需要用多少度的水来冲调这个饮品？,Obscured_narrative_v2-session_16-1,"[{""asr_result"": ""我需要用多少度的水来冲调这个饮品？"", ""start_time"": 1.0, ""end_time"": 4.148}]"
13417747,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/dorado_data_extract/478c41c154c448ad86c6bf697c23993c?lk3s=56dfb1e9&x-expires=1849274775&x-signature=yL8s1sUF1b04tvnkQ9CYHYPd0aw%3D,../data/c82daf56-45a9-4e34-ad6c-cf41bb88754c_000000_0_000000.parquet,1,"{""content"": {""U_1"": """", ""A_2"": ""这个说明号里写的是什么？""}, ""session_id"": ""Obscured_narrative_v2-session_17-1"", ""duration"": 3.277, ""turn_points"": [1.0, 3.277], ""speech_prompt"": [], ""fe_sents"": [], ""text"": "" | 这个说明号里写的是什么？"", ""start_time"": 1.0, ""end_time"": 3.277, ""sents"": [{""text"": """", ""speaker_id"": ""U"", ""start_time"": 0, ""end_time"": 1.0, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}, {""text"": ""这个说明号里写的是什么？"", ""speaker_id"": ""A"", ""start_time"": 1.0, ""end_time"": 3.277, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}]}",0,Obscured_narrative_v2-session_17, | 这个说明号里写的是什么？,Obscured_narrative_v2-session_17-1,"[{""asr_result"": ""这个说明号里写的是什么？"", ""start_time"": 1.0, ""end_time"": 3.277}]"
13417748,https://lf26-bigspeech-sign.bytetos.com/bigspeech-platform/dorado_data_extract/1185d1e756db4b7dac21ee5c98877f22?lk3s=56dfb1e9&x-expires=1849274775&x-signature=SF38B%2F8oIVGZqprfEH8q3YsWUt0%3D,../data/c82daf56-45a9-4e34-ad6c-cf41bb88754c_000000_0_000000.parquet,1,"{""content"": {""U_1"": """", ""A_2"": ""图片下面写的是什么名字？""}, ""session_id"": ""Obscured_narrative_v2-session_18-1"", ""duration"": 3.079, ""turn_points"": [1.0, 3.079], ""speech_prompt"": [], ""fe_sents"": [], ""text"": "" | 图片下面写的是什么名字？"", ""start_time"": 1.0, ""end_time"": 3.079, ""sents"": [{""text"": """", ""speaker_id"": ""U"", ""start_time"": 0, ""end_time"": 1.0, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}, {""text"": ""图片下面写的是什么名字？"", ""speaker_id"": ""A"", ""start_time"": 1.0, ""end_time"": 3.079, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}]}",0,Obscured_narrative_v2-session_18, | 图片下面写的是什么名字？,Obscured_narrative_v2-session_18-1,"[{""asr_result"": ""图片下面写的是什么名字？"", ""start_time"": 1.0, ""end_time"": 3.079}]"
13417749,https://lf9-bigspeech-sign.bytetos.com/bigspeech-platform/dorado_data_extract/8086503539794badab9c3f125cc1917e?lk3s=56dfb1e9&x-expires=1849274775&x-signature=aK0vmBlAwItTckZzuTFLye5S9Vc%3D,../data/c82daf56-45a9-4e34-ad6c-cf41bb88754c_000000_0_000000.parquet,1,"{""content"": {""U_1"": """", ""A_2"": ""第二讲标题是什么？""}, ""session_id"": ""Obscured_narrative_v2-session_15-1"", ""duration"": 2.5, ""turn_points"": [1.0, 2.5], ""speech_prompt"": [], ""fe_sents"": [], ""text"": "" | 第二讲标题是什么？"", ""start_time"": 1.0, ""end_time"": 2.5, ""sents"": [{""text"": """", ""speaker_id"": ""U"", ""start_time"": 0, ""end_time"": 1.0, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}, {""text"": ""第二讲标题是什么？"", ""speaker_id"": ""A"", ""start_time"": 1.0, ""end_time"": 2.5, ""words"": [], ""speech_prompt"": {}, ""round_idx"": 0}]}",0,Obscured_narrative_v2-session_15, | 第二讲标题是什么？,Obscured_narrative_v2-session_15-1,"[{""asr_result"": ""第 2 讲标题是什么？"", ""start_time"": 1.0, ""end_time"": 2.5}]"
